CODE,CUSTOMER,SHORT_NAME
A037-003,ADCOOP BUTINE,ADCOOP BUTINE
A037-020,ADCOOP MEENA MALL,ADCOOP MEENA
A037-010,ADCOOP MUROOR,ADCOOP MUROOR
A037-002,ADCOOP TOURIST CLUB (AUH MAL,ADCOOP TCA
D009-003,ADCOOP AL DHAFRA COOP-MADINAT ZAYED,ADCOOP AL DHAFRA
A037-016,ADCOOP SPAR AL SHAMKHA,SPAR SHAMKHA
A037-039,ADCOOP -CP MAKANI MBZ -Z 7,ADCOOP MKNI MBZ 8
A037-014,ADCOOP SPAR KHALIDIYA,SPAR KHALIDIYA
A037-009,ADCOOP MADINAT ZAYED,ADCOOP M ZAYED
D009-004,ADCOOP AL DHAFRA COOP-GIATHY S/M,ADCOOP GAYATHY 
D009-006,ADCOOP AL DHAFRA COOP-MIRFAA,ADCOOP MIRFAA
D009-007,ADCOOP AL DHAFRA COOP-BAINOONA,ADCOOP BAINOONA
D009-008,ADCOOP AL DHAFRA COOP-DEFAA 3,ADCOOP DEFAA
D009-002,ADCOOP AL DHAFRA COOP-LIWA,ADCOOP LIWA
A037-032,"ADCOOP BRANCH 12, CORNICHE",ADCOOP CORNICHE
A037-031,ADCOOP CP EXPRESS BRANCH 11,ADCOOP BRANCH 11
A037-043,ADCOOP CP EXPRESS DEENA TOWER,ADCOOP DEENA TOWER
A037-006,ADCOOP HAMADAN,ADCOOP HAMADAN
A037-028,ADCOOP SPAR EXPRESS AL ZAHIYAH,SPAR ZAHIYAH
A037-035,ADCOOP SPAR EXPRESS-C18,SPAR C19
A037-021,ADCOOP ZAYED 1ST STREET,ADCOOP ELECTRA
A037-011,ADCOOP-KHALIDIYA GARDEN,ADCOOP GARDEN
A037-022,ADCOOP AWQAF,ADCOOP AWQAF
A037-034,ADCOOP OMEGA TOWER,ADCOOP OMEGA
A037-046,ADCOOP SPAR SAADIYAT,SPAR SAADIYAT
A037-047,ADCOOP SPAR REEM REFLECTION TOWER,SPAR REFLECTION
A037-013,ADCOOP SPAR EXPRESS TCA,SPAR TCA
C029-001,CARREFOUR AL SAQAR,C4 SAQAR
C035-001,CARREFOUR MARINA MALL-AUH,C4 MARINA
C351-001,CARREFOUR YAS,C4 YAS
C173-001,CARREFOUR DALMA STORE,C4 DALMA
C263-001,CARREFOUR AL SHAHAMA CITY DEER,C4 SHAHAMA
C216-001,CARREFOUR BANIYAS ISLAND-ADH,C4 BANIYAS
C453-001,CARREFOUR REEM MALL,C4 REEM
C387-001,CARREFOUR - MASDAR,C4 MASDAR
C510-001,CARREFOUR - MAFRAQ,C4 MAFRAQ
C127-005,CARREFOUR EXPRESS - AL SEEF,C4 AL SEEF
C127-058,CARREFOUR EXPRESS PARAGON,C4 PARAGON
C127-117,CARREFOUR EXPRESS MBZ,C4 MBZ
C127-105,CARREFOUR EXPRESS MAYAN,C4 MAYAN
C127-106,CARREFOUR EXPRESS WATEREDGE,C4 WATEREDGE
C127-096,CARREFOUR EXPRESS - GARDEN PLAZA AUH,C4 GARDEN
C127-108,CARREFOUR EXPRESS - ABD REFLECTION TOWER,C4 REFLECTION
C127-098,CARREFOUR EXPRESS - C4 EXPRESS AL ZEINA,C4 AL ZEINA
C127-063,CARREFOUR EXPRESS - CT UAE ABD HYDRA,C4 HYDRA
C127-087,CARREFOUR EXPRESS BURJ AL KHAIR,C4 BURJ AL KHAIR
C127-078,CARREFOUR EXPRESS -SM UAE ABD RAHA BEACH,C4 RAHA
C127-131,CARREFOUR CANAL BLOSSOM AL RAHA,C4 CANAL BLOSSOM
L165-001,LULU HYPER-MUSHRIF MALL AUH,LULU HYPER-MUSHRIF MALL AUH
L106-001,LULU HYPER - AL WAHDA MALL,LULU  AL WAHDA
L109-001,LULU HYPER - KHALIDIYA MALL,LULU  KHALIDIYA
L166-001,LULU HYPER- MADINAT ZAYED,LULU  MADINAT ZAYED
L266-001,LULU HYPER- WTC,LULU  WTC
L158-001,LULU HYPER-BANIYAS ABU DHABI,LULU BANIYAS
L373-001,LULU HYPERMARKET-CENTRAL MALL,LULU WTC
L358-001,LULU SHAMKHA BR 28,LULU SHAMKHA
L445-001,LULU SHAWAMEKH CENTRAL,LULU SHAWAMEKH
L297-001,LULU HYPER 16 DHAFRA MALL,LULU  DHAFRA
E019-001,LULU EXPRESS - CITY CENTRE,LULU CITY CENTRE
L174-001,LULU EXPRESS Y TOWERS-ADH,LULU Y TOWERS
L101-001,LULU EXPRESS AL RAHA MALL-AUH,LULU  AL RAHA-AUH
L201-001,LULU HYPER RUWAIS AL DANNAH MALL,LULU  RUWAIS HYPER
L306-001,LULU HYPERMARKET BR 15 GAYATHI MALL,LULU GAYATHI HYPER
F003-001,LULU EXPRESS - AL FALAH PLAZA,LULU  FALAH PLAZA
E021-001,LULU EXPRESS - HAMDAN,LULU  HAMDAN
L327-001,LULU EXPRESS FM-BR19-ADNEC Y-TOWER,LULU  ADNEC
E022-001,LULU EXPRESS -MUROOR,LULU MUROOR
E020-001,LULU EXPRESS MKT RUWAIS,LULU  MKT RUWAIS
L334-001,LULU HYPERMARKET-BR OF AUH 19,LULU RIYAD CITY
L288-001,LULU EXPRESS BR10 SADIYAT,LULU  BR10 SADIYAT
L170-001,LULU EXPRESS GHAYATHI,LULU  GHAYATHI EXPRESS
L352-001,LULU EXPRESS BR  20  MIRFA,LULU  MIRFA
L065-001,LULU CENTER SALAM,LULU  SALAM
E024-001,LULU EXPRESS - ELECTRA,LULU  ELECTRA
L277-001,LULU EXPRESS BR.7 - TCA,LULU  TCA
E003-001,LULU EXPRESS SM - EMKE,LULU  EMKE
L456-001,LULU EXPRESS YAS ACRES -2241,LULU  YAS ACRES
L283-001,LULU EXPRESS FRESH MARKET BR 9,LULU  REEM BR 9
L482-001,LULU DAILY FRESH SADIYAT,LULU DAILY SADIYAT
L371-001,LULU EXPRESS FRESH-AL RAHA,LULU  AL RAHA
L380-001,LULU EXPRESS CENTRAL SOUQ-RUWAIS,LULU  SOUQ RUWAIS
L464-001,LULU EXPRESS Y TOWER REEM ISLAND,LULU  Y TOWER REEM
L362-001,LULU EXPRESS FRESH-AL WATHBA,LULU  WATHBA
S197-022,SPINNIES AL FORSAN KHALIFIA CITY,SPINNIES FORSAN
S197-001,SPINNEYS KHALIDIYA,SPINNEYS KHALIDIYA
S196-082,SPINNEYS WAITROSE AL MARYAH,WAITROSE MARYAH
S196-079,SPINNEYS WAITROSE SUN & SKY REEM ISLAND,WAITROSE SUN & SKY
S197-030,SPINNEYS AL FAIR ETIHAD PLAZA,SPINNEYS ETIHAD
S196-080,SPINNEYS LTD. - DXB/SHJ - WAITROSE-AL ZEINA,WAITROSE AL ZEINA
S196-077,SPINNEYS WAITROSE SADIYAT,WAITROSE SADIYAT
S196-105,SPINNEYS  WAITROSE YAS MALL,WAITROSE YAS MALL
S197-025,SPINNEYS  YAS WEST,SPINNEYS YAS WEST
S196-119,SPINNEYS JUBAIL ISLAND,SPINNEYS JUBAIL
S197-018,SPINNEYS CENTRAL MARKET - SOUK WTC,SPINNEYS WTC
S197-032,SPINNEYS WAITROSE NOYA PLAZA,WAITROSE NOYA
S197-014,SPINNEYS RIHAN HEIGHTS,SPINNEYS RIHAN
S197-011,SPINNEYS LTD. - ABU DHABI - AL BANDAR-AUH,SPINNEYS BANDAR
S197-015,SPINNEYS SADIYAT,SPINNEYS SADIYAT
S235-004,K.M.TRADING - TCA ABUDHABI,KM TCA ABUDHABI
S235-009,K.M.TRADING - NAJDA KMHYPER,KM NAJDA HYPER
S235-001,K.M.TRADING - SAFA ELECTRA,SAFA ELECTRA
S235-002,K.M.TRADING - SAFA NAJDA,SAFA NAJDA
S235-007,K.M.TRADING - SAFA SALAM TRA BR 3,SAFA SALAM BR 4
S235-020,K.M.TRADING - SAFA EXPRESS BR 5 KHALIFA PARK,SAFA KHALIFA PARK
S235-014,K.M.TRADING - SAFA AIRPORT RD BR8,SAFA AIRPORT BR9
S235-010,K.M.TRADING - SAFA MUROOR RD,SAFA MUROOR
S235-018,K.M.TRADING - SAFA S/M - BR10 ZAHIYAH,SAFA ZAHIYAH
S235-015,K.M.TRADING - SAFA SALAM ST BR9,SAFA SALAM BR10
S235-021,K.M.TRADING-AL SAFA S/M - REEM ISLAND,SAFA REEM
S235-012,K.M.TRADING-AL SAFA S/M SAFAEXPS BR7 KHALIDIYA,SAFA KHALIDIYA BR7
S235-008,K.M.TRADING-AL SAFA S/M SAFAEXPS KHALIDIYA,SAFA KHALIDIYA
S235-005,K.M.TRADING-AL SAFA S/M,K.M.TRADING AL SAFA
G252-008,GRANDIOSE KHALIDIYA,GRANDIOSE KHALIDIYA
G252-005,GRANDIOSE REEM ISLAND,GRANDIOSE REEM
G252-016,GRANDIOSE WATERFRONT TOWER,GRANDIOSE WATERFRONT
G252-006,GRANDIOS MASDAR,GRANDIOS MASDAR
G252-021,GRANDIOSE BUSTAN COMPLEX,GRANDIOSE BUSTAN
G252-017,GRANDIOS CAPITAL VIEWS,GRANDIOS CAPITAL VIEWS
G252-015,GRANDIOSE SEASIDE TOWER,GRANDIOSE SEASIDE TOWER
G252-011,GRANDIOSE SUPERMARKET LLC -GRANDIOSE S/M- AL RAHA C11,GRANDIOSE RAHA C12
G252-013,GRANDIOSE AL JIMI AVENUE,GRANDIOSE JIMI
G252-019,GRANDIOS SADIYAT,GRANDIOS SADIYAT
M729-005,AL MADINA HYPERMARKET BR-3 - SHABIA 10,MADINA SHABIA 10
M729-003,AL MADINA HYPERMARKET BR-3 - SHABIA II,MADINA SHABIA 11
M729-004,AL MADINA (CORNICHE GOLDEN TOWER NR WTC),MADINA GOLDEN TOWER
E211-006,MADINA AL MADEENA - (NR RUSSIAN EMBASSY),MADINA RUSSIAN
E211-008,MADINA AL MADEENA  BR 10 AL ZAHIYA - GRAND EMIRATES,MADINA ZAHIYA
E211-004,MADINA AL MADEENA HM -(LIWA CENTER),MADINA LIWA
E211-005,MADINA AL MADEENA HM BEHIND LULU CENTRE,MADINA LULU CENTRE
M729-007,AL MADINA HYPER BR-3 - (AL DANAH NR CITY CENTER),MADINA CITY CENTER)
M729-013,AL MADINA BR-3-SAHAB VILLAGE MALL,MADINA VILLAGE MALL
M729-009,MADINAOLD LIFCO,MADINAOLD LIFCO
E211-007,AL MADINA NR ARMADA OFFICE,MADINA ARMADA
C055-003,CHOITHRAM SM CREATIVE ZONE BRA,CHOITHRAM YAS
C055-002,CHOITHRAM & SONS - FALCON - HAMDAN,CHOITHRAM HAMDAN
C055-001,CHOITHRAM & SONS - FALCON,CHOITHRAM FALCON
C054-008,CHOITHRAM & SONS - ABU DHABI,CHOITHRAM
C054-005,CHOITHRAM AL FALAH V2N1,CHOITHRAM FALAH V2N1
C054-006,CHOITHRAM AL FALAH V2N2,CHOITHRAM FALAH V2N2
C054-007,CHOITHRAM AL FALAH V-4,CHOITHRAM FALAH V-5
C054-003,CHOITHRAM AL FALAH VILLAGE-1,CHOITHRAM FALAH V1
C054-004,CHOITHRAM AL FALAH VILLAGE-5,CHOITHRAM FALAH VILLAGE-5
L017-030,AL MAYA - BIDA ZAYED - CITYMALL,AL MAYA BIDA ZAYED
L017-068,AL MAYA GROUP LEAF TOWER,AL MAYA LEAF TOWER
L017-045,AL MAYA MART LLC BR OF ABU DHA,AL MAYA MART
L017-023,AL MAYA TCA,AL MAYA TCA
L017-047,AL MAYA GROUP AL FALAH V3 SM,AL MAY FALAH V3 SM
L017-052,AL MAYA GROUP AL FALAH V4,AL MAYA FALAH V5
L017-059,AL MAYA - ELECTRA STREET,AL MAYA ELECTRA
B042-009,BANIYAS CO-OP SOCIETY BR 2,BANIYAS COOP BR 3
B042-003,BANIYAS CO-OP SOCIETY -AL SHAHAMA,BANIYAS COOP SHAHAMA
B042-001,BANIYAS CO-OP SOCIETY BANIYAS,BANIYAS COOP BANIYAS
B042-007,BANIYAS CO-OP SOCIETY -MARFA,BANIYAS COOP MARFA
B235-001,BANIYAS GRAND HYPERMARKET,BANIYAS GRAND
